province_name,municipality_name,ward_name,election_year,election_type,party_name,candidate_name,votes,vote_share,turnout,winner_flag,source_name,source_url
Western Cape,City of Cape Town,Ward 54,2019,Municipal By-Election,DA,Nicola Jowell,,88.63,25.35,true,IEC by-election summary,https://www.elections.org.za/content/About-Us/News/Results-of-the-Municipal-By-Elections-held-on-13-February-2019/
Western Cape,City of Cape Town,Ward 30,2024,Municipal By-Election,DA,Deidree Carol De Vos,,42.60,34.55,true,IEC by-election summary,https://www.elections.org.za/content/About-Us/News/Results-of-the-Municipal--By-elections-held--on-20-November-2024/
Northern Cape,Sol Plaatje,Ward 01,2025,Municipal By-Election,ANC,Rosie Annie Ludick,,42.84,56.32,true,IEC by-election summary,https://www.elections.org.za/content/About-Us/News/Results-of-Municipal-By-elections-held-on-23-July-2025/
Eastern Cape,Raymond Mhlaba,Ward 23,2024,Municipal By-Election,ANC,Ndileka Rosemary Xameni,,59.08,53.45,true,IEC by-election summary,https://www.elections.org.za/content/About-Us/News/Results-of-the-Municipal--By-elections-held--on-20-November-2024/
Mpumalanga,Bushbuckridge,Ward 24,2025,Municipal By-Election,ANC,Smash Amos Matsane,,74.19,49.44,true,IEC by-election summary,https://www.elections.org.za/content/About-Us/News/Results-of-the-Municipal-By-election-held-on-15-January-2025/
Mpumalanga,Thembisile Hani,Ward 18,2025,Municipal By-Election,ANC,Sifiso Innocent Mabena,,73.46,34.00,true,IEC by-election summary,https://www.elections.org.za/content//About-Us/News/Results-for-Municipal-by-elections-held-on-11-June-2025/
Mpumalanga,Thembisile Hani,Ward 31,2025,Municipal By-Election,ANC,Nkosinathi Dingaan Mahlangu,,69.85,46.63,true,IEC by-election summary,https://www.elections.org.za/content//About-Us/News/Results-for-Municipal-by-elections-held-on-11-June-2025/
Mpumalanga,Govan Mbeki,Ward 14,2025,Municipal By-Election,ANC,Fana Jeremia Nzimande,,43.78,41.82,true,IEC by-election summary,https://www.elections.org.za/content/About-Us/News/Results-of-Municipal-By-elections-held-on-05-November-2025/
Mpumalanga,Emalahleni,Ward 26,2025,Municipal By-Election,DA,Susana Hendrina Liebenberg,,35.21,35.08,true,IEC by-election summary,https://www.elections.org.za/content/About-Us/News/Results-of-Municipal-By-elections-held-on-01-October-2025/
Mpumalanga,Steve Tshwete,Ward 10,2024,Municipal By-Election,ANC,Macaleni Paulos Mnisi,,51.57,29.88,true,IEC by-election summary,https://www.elections.org.za/content/About-Us/News/Results-of-the-Municipal-By-elections-held-on-28-August-2024/
Mpumalanga,Nkomazi,Ward 17,2024,Municipal By-Election,ANC,Bhekumuzi Sunboy Makhubela,,,true,IEC by-election summary,https://www.elections.org.za/content/About-Us/News/Results-of-the-Municipal-By-elections-held-on-28-August-2024/
Mpumalanga,Msukaligwa,Ward 07,2024,Municipal By-Election,DA,Jacob Johannes Scholtz,,51.95,19.77,true,IEC by-election summary,https://www.elections.org.za/content/About-Us/News/Results-of-the-Municipal--By-elections-held--on-23-October-2024/
Mpumalanga,Emalahleni,Ward 24,2024,Municipal By-Election,DA,Karien MC Diarmid,,88.52,,true,IEC by-election summary,https://www.elections.org.za/content/About-Us/News/Results-of-the-Municipal--By-elections-held--on-23-October-2024/
Mpumalanga,Govan Mbeki,Ward 04,2024,Municipal By-Election,ANC,Mzikayise Patrick Duma,,50.84,41.87,true,IEC by-election summary,https://www.elections.org.za/pw/News-And-Media/News-List/News/News-Article/Results-of-the-Municipal-by-election-held-on-28-February-2024?a=AISDGvpz75ps1usOfX7oih8CM6sMFf%2F0daNiMHw8twk%3D
